file,site,sample_rate
recover-20250127/UBNA_026/20250115_092000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_093000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_094000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_095000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_100000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_101000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_102000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_103000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_104000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_105000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_110000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_111000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_112000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_113000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_114000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_115000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_120000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_121000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_122000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_123000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_124000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_125000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_130000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_131000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_132000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_133000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_134000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_135000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_140000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_141000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_142000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_143000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_144000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_145000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_150000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_151000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_152000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_153000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_154000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_155000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_160000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_161000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_162000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_163000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_164000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_165000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_170000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_171000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_172000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_173000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_174000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_175000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_180000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_181000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_182000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_183000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_184000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_185000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_190000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_191000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_192000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_193000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_194000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_195000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_200000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_201000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_202000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_203000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_204000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_205000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_210000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_211000.WAV,Carp Pond,192000
